,MATICUSDT,STXUSDT,Spread,ZScore
0,1.1374,0.74104,-0.07790560000000002,
1,1.1363,0.74308,-0.08235119999999974,
2,1.1434,0.74424,-0.07715359999999993,
3,1.1435,0.73942,-0.06914880000000001,
4,1.146,0.74675,-0.07867000000000002,
5,1.1446,0.73755,-0.06498199999999987,
6,1.1402,0.73475,-0.0647899999999999,
7,1.1354,0.74745,-0.09041799999999989,
8,1.1348,0.75361,-0.10112039999999989,
9,1.1228,0.72685,-0.0692339999999998,
10,1.1235,0.7281,-0.07058399999999998,
11,1.1286,0.73464,-0.07620959999999988,
12,1.1229,0.74801,-0.10383639999999983,
13,1.1245,0.75758,-0.1179311999999999,
14,1.1279,0.75834,-0.11577760000000015,
15,1.1257,0.74986,-0.1040703999999999,
16,1.126,0.7464,-0.09809599999999996,
17,1.1244,0.7372,-0.0846079999999998,
18,1.124,0.74075,-0.09082999999999974,
19,1.1184,0.73802,-0.09195279999999983,
20,1.1205,0.74015,-0.09334599999999993,-0.41141348813623957
21,1.1269,0.74531,-0.09540839999999995,-0.4897417738289221
22,1.1295,0.74597,-0.09389080000000005,-0.35919609089477483
23,1.1379,0.75245,-0.09611799999999993,-0.4460646728809517
24,1.1439,0.75875,-0.10045000000000015,-0.6475343820931849
25,1.1389,0.74612,-0.08473679999999995,0.40787514251715895
26,1.137,0.74636,-0.08703039999999995,0.35274270063251884
27,1.1287,0.7342,-0.07538799999999979,1.3102479773948414
28,1.1259,0.7267,-0.06588799999999995,1.7819304420208186
29,1.1303,0.73496,-0.07503439999999983,1.0354443825116981
30,1.1331,0.73997,-0.08045079999999993,0.7288937714005901
31,1.1307,0.74623,-0.09311719999999979,-0.1138404238215537
32,1.1358,0.74285,-0.08247399999999994,0.7391112575809111
33,1.1497,0.75065,-0.08136600000000005,0.7483325063063337
34,1.151,0.75175,-0.08186999999999989,0.6498621242629145
35,1.1464,0.74055,-0.06810199999999988,1.8199636282449694
36,1.1514,0.73829,-0.05939559999999999,2.2713913150259657
37,1.1495,0.73697,-0.05913079999999993,1.9742629466303843
38,1.1545,0.73319,-0.04793159999999985,2.3335217671526793
