,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
384,HBARUSDT,ANKRUSDT,0.01,-4.1,-3.37,2.0,14
241,BSWUSDT,BATUSDT,0.03,-3.52,-3.37,0.8,14
528,SHIB1000USDT,DOGEUSDT,0.01,-3.84,-3.37,0.15,14
545,STGUSDT,KSMUSDT,0.03,-3.49,-3.37,0.02,14
546,STGUSDT,WAVESUSDT,0.01,-3.87,-3.37,0.33,14
547,STGUSDT,XTZUSDT,0.03,-3.54,-3.37,0.67,14
183,ARUSDT,DENTUSDT,0.04,-3.38,-3.37,8272.26,14
357,ENSUSDT,ICXUSDT,0.03,-3.59,-3.37,64.12,14
395,HOOKUSDT,CREAMUSDT,0.04,-3.43,-3.37,0.17,14
435,KNCUSDT,WAVESUSDT,0.0,-4.52,-3.37,0.31,14
144,ALGOUSDT,KSMUSDT,0.0,-4.18,-3.37,0.01,14
135,ALGOUSDT,COCOSUSDT,0.04,-3.41,-3.37,0.14,14
452,LRCUSDT,ALPHAUSDT,0.0,-4.28,-3.37,3.0,14
549,STORJUSDT,1000FLOKIUSDT,0.04,-3.45,-3.37,9.15,13
607,VETUSDT,CVCUSDT,0.03,-3.5,-3.37,0.22,13
658,XTZUSDT,OGNUSDT,0.01,-3.98,-3.37,9.35,13
569,USDCUSDT,1000LUNCUSDT,0.04,-3.39,-3.37,7.42,13
521,SCRTUSDT,ENSUSDT,0.01,-3.79,-3.37,0.05,13
343,ENSUSDT,AXSUSDT,0.0,-4.5,-3.37,1.63,13
180,APTUSDT,TOMOUSDT,0.04,-3.43,-3.37,30.01,13
376,GMXUSDT,ICPUSDT,0.04,-3.45,-3.37,13.12,13
281,CRVUSDT,API3USDT,0.04,-3.41,-3.37,0.68,13
258,BSWUSDT,WAVESUSDT,0.01,-3.79,-3.37,0.09,13
248,BSWUSDT,DUSKUSDT,0.02,-3.72,-3.37,1.11,13
203,AVAXUSDT,HIGHUSDT,0.03,-3.56,-3.37,7.48,13
181,ARUSDT,AGIXUSDT,0.04,-3.45,-3.37,21.26,13
421,KNCUSDT,DGBUSDT,0.03,-3.49,-3.37,69.93,13
347,ENSUSDT,CKBUSDT,0.04,-3.38,-3.37,3277.61,13
178,ANTUSDT,SUSHIUSDT,0.0,-4.26,-3.37,1.96,13
167,ALICEUSDT,GMTUSDT,0.04,-3.4,-3.37,4.41,13
146,ALGOUSDT,MINAUSDT,0.0,-4.38,-3.37,0.28,13
103,AAVEUSDT,DUSKUSDT,0.04,-3.42,-3.37,427.2,13
364,ENSUSDT,OGNUSDT,0.02,-3.76,-3.37,115.55,13
301,DARUSDT,RSRUSDT,0.04,-3.43,-3.37,42.07,13
397,HOOKUSDT,FETUSDT,0.04,-3.45,-3.37,4.8,13
382,HBARUSDT,ALICEUSDT,0.04,-3.45,-3.37,0.04,13
20,1000FLOKIUSDT,BCHUSDT,0.02,-3.73,-3.37,0.0,13
383,HBARUSDT,ALPHAUSDT,0.02,-3.75,-3.37,0.61,13
243,BSWUSDT,BNXUSDT,0.04,-3.46,-3.37,0.28,12
8,1000BONKUSDT,AXSUSDT,0.03,-3.52,-3.37,0.0,12
189,ARUSDT,HIGHUSDT,0.01,-3.86,-3.37,3.88,12
195,ATOMUSDT,OCEANUSDT,0.02,-3.6,-3.37,32.05,12
201,AVAXUSDT,FTMUSDT,0.03,-3.57,-3.37,41.48,12
5,10000NFTUSDT,UNIUSDT,0.03,-3.54,-3.37,0.0,12
225,BICOUSDT,BLURUSDT,0.0,-4.57,-3.37,0.62,12
532,SHIB1000USDT,LINAUSDT,0.01,-3.87,-3.37,1.39,12
530,SHIB1000USDT,HOOKUSDT,0.01,-3.77,-3.37,0.01,12
648,XTZUSDT,GALUSDT,0.02,-3.73,-3.37,0.69,12
9,1000BONKUSDT,CEEKUSDT,0.01,-3.82,-3.37,0.01,12
430,KNCUSDT,PEOPLEUSDT,0.0,-4.47,-3.37,33.2,12
251,BSWUSDT,LITUSDT,0.01,-3.97,-3.37,0.19,12
256,BSWUSDT,TRBUSDT,0.02,-3.71,-3.37,0.01,12
3,10000NFTUSDT,ONTUSDT,0.01,-3.85,-3.37,0.02,12
485,OPUSDT,ICPUSDT,0.0,-4.23,-3.37,0.45,12
259,BSWUSDT,XEMUSDT,0.02,-3.76,-3.37,5.05,12
506,RVNUSDT,AUDIOUSDT,0.01,-3.86,-3.37,0.1,12
500,RNDRUSDT,ETCUSDT,0.01,-3.97,-3.37,0.06,12
245,BSWUSDT,C98USDT,0.02,-3.59,-3.37,0.86,12
400,HOOKUSDT,ICPUSDT,0.04,-3.47,-3.37,0.35,12
113,ACHUSDT,CELRUSDT,0.01,-3.85,-3.37,1.72,12
596,USDCUSDT,ZENUSDT,0.04,-3.41,-3.37,0.1,12
75,1000XECUSDT,LINKUSDT,0.03,-3.53,-3.37,0.0,12
363,ENSUSDT,NEOUSDT,0.01,-3.92,-3.37,1.22,12
362,ENSUSDT,MTLUSDT,0.03,-3.52,-3.37,12.26,12
558,THETAUSDT,API3USDT,0.04,-3.42,-3.37,0.71,12
593,USDCUSDT,WAVESUSDT,0.04,-3.43,-3.37,0.46,12
350,ENSUSDT,CTSIUSDT,0.0,-4.27,-3.37,98.95,12
586,USDCUSDT,KNCUSDT,0.04,-3.41,-3.37,1.47,12
663,YFIUSDT,ILVUSDT,0.04,-3.47,-3.37,125.47,12
162,ALICEUSDT,ETHWUSDT,0.01,-3.82,-3.37,0.44,12
491,QTUMUSDT,BLURUSDT,0.04,-3.4,-3.37,4.68,12
207,AVAXUSDT,IOTAUSDT,0.04,-3.4,-3.37,77.04,11
636,XTZUSDT,AGIXUSDT,0.02,-3.69,-3.37,2.78,11
684,ZILUSDT,MANAUSDT,0.01,-3.88,-3.37,0.04,11
47,1000FLOKIUSDT,ZRXUSDT,0.04,-3.38,-3.37,0.17,11
56,1000LUNCUSDT,FITFIUSDT,0.03,-3.58,-3.37,8.2,11
72,1000XECUSDT,FLOWUSDT,0.0,-4.87,-3.37,0.03,11
253,BSWUSDT,STORJUSDT,0.02,-3.69,-3.37,0.55,11
92,1INCHUSDT,FXSUSDT,0.04,-3.38,-3.37,0.05,11
39,1000FLOKIUSDT,SLPUSDT,0.04,-3.39,-3.37,13.65,11
119,AKROUSDT,FXSUSDT,0.02,-3.61,-3.37,0.0,11
125,ALGOUSDT,AGLDUSDT,0.02,-3.63,-3.37,0.51,11
535,SHIB1000USDT,SUNUSDT,0.0,-4.27,-3.37,1.7,11
641,XTZUSDT,CKBUSDT,0.03,-3.51,-3.37,265.24,11
0,10000NFTUSDT,1000BTTUSDT,0.01,-3.89,-3.37,6.67,11
464,MKRUSDT,FILUSDT,0.04,-3.46,-3.37,147.97,11
381,HBARUSDT,1INCHUSDT,0.02,-3.62,-3.37,0.13,11
372,GFTUSDT,CTCUSDT,0.02,-3.69,-3.37,0.13,11
265,CELOUSDT,BLURUSDT,0.0,-4.3,-3.37,1.02,10
627,VETUSDT,XTZUSDT,0.01,-4.0,-3.37,0.02,10
361,ENSUSDT,MINAUSDT,0.0,-4.23,-3.37,18.09,10
53,1000LUNCUSDT,C98USDT,0.01,-3.96,-3.37,0.61,10
211,AVAXUSDT,LRCUSDT,0.01,-3.98,-3.37,51.46,10
57,1000LUNCUSDT,FXSUSDT,0.0,-4.82,-3.37,0.02,10
58,1000LUNCUSDT,LITUSDT,0.01,-4.06,-3.37,0.14,10
122,ALGOUSDT,1000BONKUSDT,0.03,-3.49,-3.37,406.23,10
475,NEARUSDT,ANKRUSDT,0.02,-3.6,-3.37,62.61,10
369,FTMUSDT,ALPHAUSDT,0.0,-4.13,-3.37,3.72,10
333,DYDXUSDT,NEARUSDT,0.04,-3.38,-3.37,1.13,10
169,ALICEUSDT,HOTUSDT,0.02,-3.63,-3.37,878.2,10
240,BSWUSDT,APEUSDT,0.04,-3.45,-3.37,0.04,10
238,BSWUSDT,1000FLOKIUSDT,0.04,-3.45,-3.37,5.0,10
226,BICOUSDT,BLZUSDT,0.03,-3.54,-3.37,4.5,10
110,AAVEUSDT,SANDUSDT,0.0,-4.25,-3.37,125.3,10
637,XTZUSDT,ALGOUSDT,0.02,-3.64,-3.37,5.16,10
533,SHIB1000USDT,LOOKSUSDT,0.01,-3.87,-3.37,0.07,10
380,GRTUSDT,ALPHAUSDT,0.01,-3.95,-3.37,1.28,10
551,STORJUSDT,AGIXUSDT,0.02,-3.66,-3.37,0.9,10
408,ICXUSDT,BLURUSDT,0.01,-4.09,-3.37,0.35,10
679,ZILUSDT,HOTUSDT,0.01,-3.83,-3.37,14.71,10
11,1000BONKUSDT,CVCUSDT,0.04,-3.41,-3.37,0.01,10
570,USDCUSDT,ARPAUSDT,0.03,-3.49,-3.37,28.4,10
355,ENSUSDT,GALUSDT,0.0,-4.55,-3.37,8.55,10
129,ALGOUSDT,BITUSDT,0.03,-3.54,-3.37,0.39,10
283,DARUSDT,ANKRUSDT,0.0,-4.14,-3.37,5.4,10
194,ATOMUSDT,CELRUSDT,0.03,-3.56,-3.37,692.88,10
1,10000NFTUSDT,ASTRUSDT,0.03,-3.5,-3.37,0.07,10
342,ENSUSDT,AUDIOUSDT,0.01,-3.87,-3.37,53.24,10
220,BALUSDT,TRXUSDT,0.04,-3.44,-3.37,96.02,9
592,USDCUSDT,TRBUSDT,0.04,-3.38,-3.37,0.07,9
470,MKRUSDT,OPUSDT,0.05,-3.37,-3.37,371.6,9
116,ACHUSDT,SNXUSDT,0.03,-3.48,-3.37,0.01,9
161,ALICEUSDT,EGLDUSDT,0.0,-4.44,-3.37,0.04,9
548,STGUSDT,YFIUSDT,0.03,-3.5,-3.37,0.0,9
112,AAVEUSDT,TLMUSDT,0.02,-3.63,-3.37,4101.51,9
351,ENSUSDT,CVXUSDT,0.0,-4.34,-3.37,2.37,9
315,DODOUSDT,SWEATUSDT,0.0,-4.19,-3.37,18.18,9
242,BSWUSDT,BELUSDT,0.02,-3.7,-3.37,0.32,9
230,BICOUSDT,CREAMUSDT,0.0,-4.2,-3.37,0.03,9
65,1000XECUSDT,BELUSDT,0.04,-3.4,-3.37,0.05,9
38,1000FLOKIUSDT,RUNEUSDT,0.03,-3.57,-3.37,0.03,9
40,1000FLOKIUSDT,STMXUSDT,0.0,-4.85,-3.37,6.57,9
267,CHZUSDT,BCHUSDT,0.04,-3.47,-3.37,0.0,9
631,XEMUSDT,AGIXUSDT,0.01,-3.87,-3.37,0.1,9
373,GFTUSDT,RSS3USDT,0.03,-3.51,-3.37,0.38,9
370,FTMUSDT,API3USDT,0.04,-3.42,-3.37,0.28,9
23,1000FLOKIUSDT,COTIUSDT,0.04,-3.44,-3.37,0.51,9
585,USDCUSDT,IMXUSDT,0.03,-3.54,-3.37,1.03,8
675,ZILUSDT,ENSUSDT,0.03,-3.58,-3.37,0.0,8
12,1000BONKUSDT,EGLDUSDT,0.02,-3.62,-3.37,0.0,8
573,USDCUSDT,BLZUSDT,0.04,-3.43,-3.37,12.18,8
429,KNCUSDT,OGNUSDT,0.0,-4.54,-3.37,5.94,8
436,KNCUSDT,XNOUSDT,0.02,-3.6,-3.37,0.83,8
2,10000NFTUSDT,GTCUSDT,0.04,-3.4,-3.37,0.0,8
582,USDCUSDT,FLOWUSDT,0.03,-3.5,-3.37,1.04,8
650,XTZUSDT,HIGHUSDT,0.01,-3.83,-3.37,0.51,8
22,1000FLOKIUSDT,BSVUSDT,0.01,-3.81,-3.37,0.0,8
34,1000FLOKIUSDT,LUNA2USDT,0.03,-3.55,-3.37,0.03,8
453,LRCUSDT,API3USDT,0.0,-4.36,-3.37,0.22,8
312,DASHUSDT,ZECUSDT,0.0,-4.4,-3.37,1.59,8
646,XTZUSDT,FLMUSDT,0.03,-3.54,-3.37,11.87,8
80,1000XECUSDT,RSRUSDT,0.02,-3.68,-3.37,7.4,8
454,LTCUSDT,EOSUSDT,0.0,-4.99,-3.37,71.52,8
98,AAVEUSDT,ALPHAUSDT,0.0,-4.14,-3.37,718.0,8
168,ALICEUSDT,HIGHUSDT,0.01,-3.88,-3.37,0.71,8
589,USDCUSDT,QTUMUSDT,0.04,-3.47,-3.37,0.36,8
250,BSWUSDT,FXSUSDT,0.0,-5.04,-3.37,0.02,8
345,ENSUSDT,BLURUSDT,0.04,-3.46,-3.37,22.12,8
221,BALUSDT,XLMUSDT,0.01,-3.93,-3.37,75.46,8
473,MKRUSDT,XNOUSDT,0.02,-3.75,-3.37,1049.06,8
255,BSWUSDT,SWEATUSDT,0.05,-3.38,-3.37,19.76,8
326,DOTUSDT,ROSEUSDT,0.0,-4.44,-3.37,106.82,8
536,SHIB1000USDT,TRXUSDT,0.01,-3.97,-3.37,0.17,8
320,DOTUSDT,GRTUSDT,0.01,-3.79,-3.37,44.45,8
503,RPLUSDT,ACHUSDT,0.04,-3.46,-3.37,1299.74,8
339,ENSUSDT,APEUSDT,0.0,-4.36,-3.37,2.98,8
179,APEUSDT,1000BONKUSDT,0.03,-3.48,-3.37,8690.26,8
501,RNDRUSDT,JASMYUSDT,0.01,-3.79,-3.37,217.51,8
43,1000FLOKIUSDT,SXPUSDT,0.03,-3.52,-3.37,0.14,7
520,SCRTUSDT,CREAMUSDT,0.0,-4.93,-3.37,0.06,7
598,VETUSDT,AGIXUSDT,0.04,-3.47,-3.37,0.06,7
325,DOTUSDT,NEARUSDT,0.03,-3.51,-3.37,2.99,7
574,USDCUSDT,BSVUSDT,0.04,-3.4,-3.37,0.03,7
124,ALGOUSDT,AGIXUSDT,0.0,-4.49,-3.37,0.54,7
640,XTZUSDT,AXSUSDT,0.03,-3.48,-3.37,0.13,7
150,ALICEUSDT,AGIXUSDT,0.04,-3.39,-3.37,3.91,7
36,1000FLOKIUSDT,NKNUSDT,0.01,-3.91,-3.37,0.38,7
291,DARUSDT,GMTUSDT,0.0,-4.12,-3.37,0.49,7
437,KSMUSDT,AGIXUSDT,0.03,-3.52,-3.37,85.44,7
26,1000FLOKIUSDT,CVXUSDT,0.0,-4.18,-3.37,0.01,7
24,1000FLOKIUSDT,CREAMUSDT,0.02,-3.62,-3.37,0.0,7
609,VETUSDT,EGLDUSDT,0.02,-3.72,-3.37,0.0,7
611,VETUSDT,ETHWUSDT,0.02,-3.68,-3.37,0.01,6
331,DYDXUSDT,ETHWUSDT,0.04,-3.4,-3.37,0.65,6
683,ZILUSDT,LINKUSDT,0.01,-3.89,-3.37,0.0,6
610,VETUSDT,ENSUSDT,0.03,-3.58,-3.37,0.0,6
336,DYDXUSDT,SNXUSDT,0.01,-3.77,-3.37,0.8,6
289,DARUSDT,FTMUSDT,0.02,-3.7,-3.37,0.44,6
444,LINAUSDT,GLMRUSDT,0.02,-3.73,-3.37,0.02,6
328,DOTUSDT,STXUSDT,0.01,-3.82,-3.37,8.58,6
405,HOTUSDT,AGIXUSDT,0.02,-3.76,-3.37,0.0,6
10,1000BONKUSDT,CROUSDT,0.02,-3.73,-3.37,0.01,6
45,1000FLOKIUSDT,WAVESUSDT,0.03,-3.54,-3.37,0.02,6
386,HBARUSDT,BCHUSDT,0.03,-3.52,-3.37,0.0,6
37,1000FLOKIUSDT,OMGUSDT,0.04,-3.44,-3.37,0.03,6
657,XTZUSDT,NEOUSDT,0.01,-3.77,-3.37,0.1,6
319,DOTUSDT,FTMUSDT,0.02,-3.62,-3.37,15.26,6
652,XTZUSDT,ICXUSDT,0.01,-3.99,-3.37,5.19,6
426,KNCUSDT,KDAUSDT,0.05,-3.37,-3.37,0.68,6
360,ENSUSDT,LOOKSUSDT,0.01,-3.98,-3.37,88.25,6
456,MANAUSDT,1000BONKUSDT,0.01,-3.82,-3.37,1106.3,6
130,ALGOUSDT,BLURUSDT,0.01,-3.91,-3.37,0.35,6
114,ACHUSDT,IOTXUSDT,0.02,-3.75,-3.37,1.21,6
185,ARUSDT,ETHWUSDT,0.0,-4.98,-3.37,2.42,6
356,ENSUSDT,HIGHUSDT,0.01,-3.79,-3.37,6.28,6
202,AVAXUSDT,GRTUSDT,0.01,-3.83,-3.37,120.82,6
143,ALGOUSDT,ILVUSDT,0.04,-3.46,-3.37,0.0,6
204,AVAXUSDT,HNTUSDT,0.02,-3.6,-3.37,7.01,6
594,USDCUSDT,XNOUSDT,0.04,-3.41,-3.37,1.23,6
467,MKRUSDT,ICPUSDT,0.02,-3.6,-3.37,165.75,6
469,MKRUSDT,LINKUSDT,0.03,-3.54,-3.37,128.77,6
163,ALICEUSDT,FETUSDT,0.01,-3.93,-3.37,4.03,6
455,LUNA2USDT,1000BONKUSDT,0.01,-3.9,-3.37,2771.7,6
465,MKRUSDT,GLMRUSDT,0.01,-3.86,-3.37,2225.96,6
322,DOTUSDT,IOSTUSDT,0.04,-3.46,-3.37,589.86,5
28,1000FLOKIUSDT,ENJUSDT,0.0,-4.4,-3.37,0.1,5
428,KNCUSDT,LOOKSUSDT,0.02,-3.76,-3.37,4.54,5
653,XTZUSDT,ILVUSDT,0.03,-3.49,-3.37,0.02,5
318,DOTUSDT,ETCUSDT,0.0,-4.62,-3.37,0.31,5
41,1000FLOKIUSDT,SUNUSDT,0.01,-3.8,-3.37,5.9,5
44,1000FLOKIUSDT,UNIUSDT,0.03,-3.59,-3.37,0.01,5
131,ALGOUSDT,BLZUSDT,0.03,-3.5,-3.37,2.53,5
31,1000FLOKIUSDT,KDAUSDT,0.03,-3.5,-3.37,0.04,5
46,1000FLOKIUSDT,ZENUSDT,0.01,-3.81,-3.37,0.0,5
264,BUSDUSDT,RSS3USDT,0.05,-3.37,-3.37,7.42,5
170,ALICEUSDT,ILVUSDT,0.02,-3.72,-3.37,0.02,5
590,USDCUSDT,RENUSDT,0.04,-3.39,-3.37,9.87,5
298,DARUSDT,LRCUSDT,0.02,-3.67,-3.37,0.55,5
531,SHIB1000USDT,IMXUSDT,0.02,-3.71,-3.37,0.01,5
82,1INCHUSDT,AGIXUSDT,0.0,-4.19,-3.37,1.26,5
571,USDCUSDT,BATUSDT,0.02,-3.61,-3.37,4.23,5
19,1000FLOKIUSDT,ARPAUSDT,0.02,-3.61,-3.37,1.07,5
249,BSWUSDT,FITFIUSDT,0.04,-3.39,-3.37,11.51,5
27,1000FLOKIUSDT,DOGEUSDT,0.03,-3.56,-3.37,0.53,5
577,USDCUSDT,C98USDT,0.04,-3.41,-3.37,4.52,5
661,YFIUSDT,CEEKUSDT,0.0,-4.2,-3.37,96194.9,4
292,DARUSDT,GRTUSDT,0.01,-3.78,-3.37,1.28,4
404,HOTUSDT,1000BONKUSDT,0.04,-3.4,-3.37,3.35,4
16,1000BONKUSDT,SCUSDT,0.03,-3.54,-3.37,0.14,4
321,DOTUSDT,HNTUSDT,0.02,-3.7,-3.37,2.58,4
659,YFIUSDT,ALGOUSDT,0.0,-4.27,-3.37,42360.17,4
664,YFIUSDT,LUNA2USDT,0.04,-3.4,-3.37,6209.14,4
15,1000BONKUSDT,REQUSDT,0.04,-3.38,-3.37,0.01,4
340,ENSUSDT,ARPAUSDT,0.04,-3.47,-3.37,374.59,4
66,1000XECUSDT,BLURUSDT,0.03,-3.55,-3.37,0.05,4
635,XTZUSDT,1INCHUSDT,0.03,-3.53,-3.37,2.2,4
618,VETUSDT,LINKUSDT,0.04,-3.46,-3.37,0.0,4
88,1INCHUSDT,ETHWUSDT,0.04,-3.39,-3.37,0.14,4
338,ENSUSDT,AGIXUSDT,0.01,-3.85,-3.37,34.4,4
104,AAVEUSDT,HIGHUSDT,0.03,-3.57,-3.37,34.79,4
327,DOTUSDT,SNXUSDT,0.01,-3.79,-3.37,2.12,4
117,ACHUSDT,SUSHIUSDT,0.03,-3.57,-3.37,0.02,4
50,1000LUNCUSDT,BLURUSDT,0.01,-3.93,-3.37,0.23,4
591,USDCUSDT,RUNEUSDT,0.05,-3.37,-3.37,0.73,4
266,CHRUSDT,1000BONKUSDT,0.03,-3.47,-3.37,285.58,4
223,BICOUSDT,AGIXUSDT,0.04,-3.43,-3.37,0.96,4
190,ARUSDT,ILVUSDT,0.03,-3.59,-3.37,0.12,3
61,1000LUNCUSDT,RENUSDT,0.04,-3.38,-3.37,1.34,3
578,USDCUSDT,COREUSDT,0.01,-3.97,-3.37,0.39,3
581,USDCUSDT,DASHUSDT,0.01,-3.82,-3.37,0.02,3
277,COREUSDT,EOSUSDT,0.05,-3.37,-3.37,2.25,3
595,USDCUSDT,ZECUSDT,0.03,-3.55,-3.37,0.03,3
271,CHZUSDT,ILVUSDT,0.04,-3.38,-3.37,0.0,3
568,USDCUSDT,1000BTTUSDT,0.02,-3.72,-3.37,1516.74,3
557,SWEATUSDT,1000BTTUSDT,0.03,-3.54,-3.37,14.5,3
305,DARUSDT,SNXUSDT,0.02,-3.69,-3.37,0.06,2
368,ETHWUSDT,1000BONKUSDT,0.04,-3.45,-3.37,6596.77,2
612,VETUSDT,FETUSDT,0.05,-3.37,-3.37,0.06,2
115,ACHUSDT,JASMYUSDT,0.02,-3.59,-3.37,5.5,2
510,RVNUSDT,HIGHUSDT,0.02,-3.66,-3.37,0.01,2
89,1INCHUSDT,FETUSDT,0.05,-3.37,-3.37,1.3,2
572,USDCUSDT,BLURUSDT,0.03,-3.47,-3.37,1.67,2
576,USDCUSDT,BUSDUSDT,0.0,-4.41,-3.37,0.99,2
348,ENSUSDT,COMPUSDT,0.01,-4.1,-3.37,0.31,2
662,YFIUSDT,ETHWUSDT,0.02,-3.61,-3.37,2596.01,2
645,XTZUSDT,FETUSDT,0.0,-4.65,-3.37,2.86,2
587,USDCUSDT,LTCUSDT,0.02,-3.62,-3.37,0.01,1
583,USDCUSDT,GFTUSDT,0.03,-3.56,-3.37,19.12,1
309,DASHUSDT,CREAMUSDT,0.04,-3.44,-3.37,5.26,1
278,COREUSDT,ZECUSDT,0.01,-3.82,-3.37,0.07,1
