,MATICUSDT,STXUSDT,Spread,ZScore
0,1.2182,0.92381,-0.19522930000000005,
1,1.2076,0.90829,-0.18208370000000018,
2,1.2088,0.91225,-0.1869425,
3,1.213,0.91639,-0.1890767,
4,1.205,0.91076,-0.18846279999999993,
5,1.2013,0.90535,-0.18388549999999992,
6,1.1998,0.91095,-0.1939535000000001,
7,1.2022,0.91515,-0.1979795000000002,
8,1.1939,0.90247,-0.18687910000000008,
9,1.1959,0.91661,-0.20651330000000012,
10,1.2133,0.92722,-0.20534660000000016,
11,1.2222,0.93119,-0.2025207,
12,1.2158,0.92085,-0.1931004999999999,
13,1.2137,0.91559,-0.18715269999999995,
14,1.226,0.92767,-0.1933351000000001,
15,1.2265,0.92599,-0.19026470000000018,
16,1.2167,0.90053,-0.16111090000000017,
17,1.1155,0.84732,-0.18089960000000005,
18,1.153,0.83585,-0.12585049999999987,
19,1.155,0.82906,-0.11346180000000006,
20,1.1656,0.84244,-0.12333320000000003,2.1321367950710353
21,1.1609,0.83475,-0.11626749999999997,2.016882147224063
22,1.1643,0.82802,-0.10257060000000018,2.0693297723932456
23,1.1691,0.83155,-0.10317149999999997,1.7750115385451526
24,1.1719,0.8349,-0.10549699999999995,1.51652680130272
25,1.1699,0.83356,-0.10544679999999995,1.3593755403219807
26,1.1706,0.8333,-0.10434900000000003,1.2497402505858533
27,1.1679,0.8242,-0.09312600000000004,1.359625417135553
28,1.1643,0.81746,-0.0864138000000001,1.3622479489724024
29,1.1672,0.84272,-0.12216160000000009,0.49635139137870854
30,1.1683,0.85695,-0.14283350000000006,-0.04751338397006264
31,1.1602,0.84249,-0.12880970000000014,0.2173756638021811
32,1.1679,0.83956,-0.11662680000000014,0.4598526887086526
33,1.1713,0.84446,-0.12072379999999994,0.26975992166500434
34,1.1621,0.83545,-0.11613850000000014,0.332315954273599
35,1.167,0.8591,-0.14742299999999986,-0.8634801709482055
36,1.1627,0.85671,-0.14806629999999998,-1.1231911818306053
37,1.1604,0.8522,-0.14346599999999987,-1.0130627939390087
38,1.1676,0.85374,-0.13862220000000014,-1.0944845556085483
39,1.1678,0.8477,-0.129181,-0.5495867084686392
40,1.1722,0.83959,-0.1123727000000001,0.3928357416042256
41,1.168,0.85141,-0.1346573000000002,-0.8158295452326814
42,1.1657,0.83755,-0.11575150000000001,0.22799674780338502
43,1.1634,0.82936,-0.10552080000000008,0.8070218651725208
44,1.1621,0.82025,-0.0928825000000002,1.434432584928408
45,1.156,0.81971,-0.09815630000000009,1.1111688833194102
46,1.1607,0.79326,-0.05298779999999992,2.689133223458565
47,1.1586,0.79376,-0.055852800000000036,2.1617354320903477
48,1.1553,0.78875,-0.05148749999999991,2.025743828129937
49,1.1535,0.77668,-0.034820400000000085,2.2010022881787465
50,1.1468,0.76571,-0.024736300000000044,2.0817464366926974
51,1.15,0.76297,-0.017344100000000084,1.9450207675990854
52,1.1509,0.77522,-0.03518660000000007,1.362714719603549
53,1.1451,0.7684,-0.030551999999999913,1.3192204024657133
54,1.1404,0.77,-0.03770000000000007,1.0560154651892781
55,1.1349,0.77014,-0.04341420000000018,0.8511080379288943
56,1.1364,0.77165,-0.04422449999999989,0.7560445538321918
57,1.134,0.76454,-0.03574620000000017,0.8644289928962686
58,1.1309,0.7699,-0.04704700000000006,0.5311883412916053
59,1.1199,0.75614,-0.03699420000000009,0.7102607221958356
60,1.113,0.73298,-0.008459400000000006,1.3653777058890526
61,1.1154,0.7244,0.007067999999999852,1.6194854995743728
62,1.1196,0.73188,-0.00017639999999996547,1.3806686879725776
63,1.1266,0.72781,0.013050700000000193,1.683007129710456
64,1.128,0.71759,0.030087299999999928,2.038669719006843
65,1.1552,0.7434,0.01779799999999998,1.5357994988889672
66,1.1425,0.725,0.03325,1.958557504776564
67,1.1418,0.72047,0.03948089999999982,1.887408886292665
68,1.1497,0.74219,0.01414929999999992,0.9538534718061255
69,1.1421,0.73485,0.017779499999999837,0.9831310564242276
70,1.1376,0.7295,0.021464999999999845,1.0089783173225408
71,1.1336,0.72191,0.029077699999999762,1.150279239143113
72,1.1269,0.7212,0.02346400000000015,0.8833299890770696
73,1.1374,0.721,0.03427000000000002,1.1235923957098057
74,1.1422,0.72525,0.03256750000000008,0.9710397955748965
75,1.1421,0.74162,0.007421399999999911,0.08322542835419532
76,1.1462,0.74255,0.01009850000000001,0.09473874043011271
77,1.1499,0.74235,0.014104499999999964,0.1560527785404319
78,1.1433,0.73522,0.018413400000000024,0.25211826347233657
79,1.1419,0.7361,0.015666999999999875,-0.012798784215019118
80,1.1374,0.74104,0.0036087999999998566,-1.1464283144510239
81,1.1363,0.74308,-0.0006123999999998464,-1.6128279517403863
82,1.1434,0.74424,0.0047127999999998504,-1.1345028214754262
83,1.1435,0.73942,0.01218739999999996,-0.5831364768003944
84,1.146,0.74675,0.0034724999999997674,-1.2767777207289477
85,1.1446,0.73755,0.0161484999999999,-0.12475630313516552
86,1.1402,0.73475,0.016032500000000116,-0.12754809678403647
87,1.1354,0.74745,-0.008198499999999997,-1.9847256521210832
88,1.1348,0.75361,-0.018223300000000053,-2.4285044132219498
89,1.1228,0.72685,0.010719499999999993,-0.14585860691134742
90,1.1235,0.7281,0.009506999999999932,-0.21071504599587873
91,1.1286,0.73464,0.0046008000000001825,-0.5369667734880428
92,1.1229,0.74801,-0.021555299999999944,-2.2030396498509424
93,1.1245,0.75758,-0.0345974,-2.4906798929230334
94,1.1279,0.75834,-0.03236020000000006,-2.0683893779245577
95,1.1257,0.74986,-0.02158579999999999,-1.335130928189448
96,1.126,0.7464,-0.015992000000000006,-0.9125011563600067
97,1.1244,0.7372,-0.0035159999999998526,-0.13278916665201823
98,1.124,0.74075,-0.009347499999999842,-0.42402551846493447
99,1.1184,0.73802,-0.010770600000000075,-0.44324516579468437
100,1.1205,0.74015,-0.011929499999999926,-0.4496192399164425
101,1.1269,0.74531,-0.013424300000000056,-0.4959768476852773
102,1.1295,0.74597,-0.01183410000000018,-0.355176948372053
103,1.1379,0.75245,-0.013348499999999985,-0.40268596831649256
104,1.1439,0.75875,-0.016987500000000155,-0.5748746876079566
105,1.1389,0.74612,-0.002663599999999988,0.44806520465217964
106,1.137,0.74636,-0.004930800000000124,0.39132640391986356
107,1.1287,0.7342,0.00537399999999999,1.312706252350122
108,1.1259,0.7267,0.014048999999999756,1.7752708967571171
109,1.1303,0.73496,0.005811200000000127,1.0478714699657001
110,1.1331,0.73997,0.000945900000000055,0.7512927789231317
111,1.1307,0.74623,-0.011031899999999872,-0.10319602453998028
112,1.1358,0.74285,-0.0007605000000001638,0.7716252985083406
113,1.1497,0.75065,0.0012054999999999705,0.8498044175913648
114,1.151,0.75175,0.0008224999999999483,0.7651978978970098
115,1.1464,0.74055,0.013358500000000051,1.8806446710461138
116,1.1514,0.73829,0.02181630000000001,2.3239116709194234
117,1.1495,0.73697,0.021935899999999897,2.0035753713232687
118,1.1545,0.73319,0.03271930000000012,2.3512526099858095
119,1.1559,0.72845,0.041371499999999894,2.3838303387928126
120,1.1641,0.72887,0.04892889999999994,2.313614652327257
121,1.1507,0.71747,0.05297090000000004,2.1182186131310057
122,1.1443,0.69604,0.07935880000000006,2.618792795273278
123,1.1402,0.68763,0.08812610000000021,2.3879728824897235
124,1.1459,0.68413,0.0991810999999998,2.273476824352423
125,1.1431,0.68133,0.10066510000000006,1.9913955316303988
126,1.1371,0.67355,0.10656850000000007,1.857803014359289
127,1.1441,0.691,0.08687,1.2229779233980658
128,1.1321,0.6731,0.10225700000000004,1.4391696072096494
129,1.1456,0.68352,0.09981439999999986,1.243634786241401
130,1.1335,0.67328,0.10338159999999985,1.2018015893887122
131,1.1333,0.6619,0.12059299999999995,1.442791670093126
132,1.1288,0.66488,0.11153360000000001,1.1398743308474395
133,1.1223,0.6644,0.10576800000000008,0.9208742054408304
134,1.1328,0.6633,0.11795099999999992,1.1332322650261888
135,1.1497,0.67544,0.11627679999999985,1.0227665968252948
136,1.1514,0.66858,0.12847260000000005,1.2769487848765433
137,1.1442,0.66062,0.13345140000000022,1.3337889805458785
138,1.1401,0.66134,0.12824979999999986,1.1231010804362633
139,1.14,0.66155,0.1278284999999999,1.0625225697998861
140,1.1394,0.66719,0.11859930000000007,0.6562751897953726
141,1.1236,0.65967,0.11430490000000004,0.39483058644445385
142,1.1255,0.66071,0.11461369999999982,0.33594525250571855
143,1.1172,0.65427,0.11616689999999985,0.3652148459990093
144,1.1205,0.65163,0.12350609999999995,0.8660849447256549
145,1.1221,0.64541,0.13462269999999998,1.5976576076457
146,1.1293,0.65145,0.13258150000000002,1.2963499092195023
147,1.1245,0.65503,0.12230410000000003,0.4203925382607553
148,1.1157,0.64513,0.1286510999999999,0.9117542710100551
149,1.092,0.63308,0.12338760000000015,0.3364177541415212
150,1.0883,0.62386,0.13379420000000009,1.3364711831869711
151,1.0998,0.63429,0.12933630000000007,0.7848694084516341
152,1.0915,0.62756,0.13133319999999993,0.9465534814332778
153,1.0796,0.62913,0.11703109999999994,-0.8367430792888882
154,1.0701,0.61521,0.12882870000000002,0.5786132039629748
155,1.0764,0.60782,0.1464354,2.475022802537884
156,1.0831,0.6285,0.12149500000000002,-0.6210091591343985
157,1.0737,0.62944,0.11065680000000011,-1.7280268306252085
158,1.0496,0.62059,0.10009730000000006,-2.374043465070822
159,1.0509,0.62546,0.09394619999999987,-2.3781813942113357
160,1.0551,0.60783,0.12512009999999996,0.24294842780488854
161,1.0594,0.6022,0.138034,1.2047869131643096
162,1.0691,0.61399,0.12969529999999985,0.4739100747584535
163,1.0637,0.6536,0.06369200000000008,-3.2250057212826393
164,1.0584,0.64347,0.07389089999999998,-2.201171208438692
165,1.0548,0.635,0.08324999999999994,-1.5499571905830782
166,1.0625,0.632,0.09553999999999996,-0.904690427551701
167,1.0529,0.60965,0.12013549999999984,0.2304468562969518
168,1.0441,0.61334,0.10568980000000006,-0.3913627629378154
169,1.045,0.61295,0.10718649999999996,-0.27929366539643946
170,1.045,0.61452,0.1047844,-0.3498241501898202
171,1.0568,0.62758,0.09660259999999987,-0.6547315286695486
172,1.0497,0.6227,0.09696899999999997,-0.5723018823992515
173,1.0759,0.6376,0.10037200000000013,-0.3508477804486485
174,1.0746,0.64217,0.09207989999999999,-0.6910540474950126
175,1.0714,0.63698,0.09682059999999992,-0.39966459294413204
176,1.0666,0.62626,0.10842219999999991,0.300320010090091
177,1.0668,0.62805,0.10588349999999991,0.2051946424122668
178,1.0455,0.61187,0.10933890000000002,0.4088728099312625
179,1.0207,0.59781,0.10605069999999994,0.20231367943923606
180,0.9809,0.58819,0.08096930000000002,-1.1736392166878846
181,0.9974,0.58958,0.09534259999999994,-0.3024427842001202
182,1.0058,0.59136,0.10101919999999998,0.15356765455654545
183,1.0155,0.5914,0.11065800000000003,0.9637166899748586
